id,EW_insgesamt,EW80,todesfaelle80,todesfaellegesamt
11,3669491,227719,309,493
1001,90164,5739,1,3
1002,246794,14792,8,16
1003,216530,16749,3,6
1004,80196,5930,3,6
1051,133193,10303,6,14
1053,198019,14673,11,23
1054,165951,12625,3,4
1055,200539,17749,2,3
1056,316103,23017,40,49
1057,128686,10976,2,8
1058,274098,20401,7,17
1059,201156,15046,4,7
1060,277175,19356,24,31
1061,131013,9625,3,3
1062,244156,19006,32,51
2000,1847253,110258,205,347
3101,249406,17511,11,25
3102,104291,7671,14,24
3103,124371,9455,37,53
3151,176523,10897,5,8
3153,136292,12268,19,27
3154,91297,6759,1,2
3155,132285,10832,6,8
3157,134801,9236,10,16
3158,119622,9098,17,27
3159,326041,23539,58,89
3241,1157115,80601,128,190
3251,217089,15415,25,38
3252,148549,12496,8,11
3254,275817,20932,32,46
3255,70458,6097,4,7
3256,121390,8566,3,7
3257,157820,12726,6,11
3351,179011,13273,12,18
3352,198038,15466,18,26
3353,254431,18256,30,31
3354,48412,4312,5,5
3355,184139,11613,3,5
3356,113928,8315,2,4
3357,163782,10645,2,8
3358,140673,10162,8,11
3359,204512,13570,7,11
3360,92389,7741,0,2
3361,137133,9471,15,18
3401,77559,5305,8,13
3402,49913,3234,0,1
3403,169077,10037,2,5
3404,165251,10069,10,21
3405,76089,6531,3,3
3451,124859,9030,4,8
3452,189694,12556,6,14
3453,170682,8518,16,22
3454,326954,18596,21,39
3455,98704,8165,3,3
3456,137162,8632,20,33
3457,170756,10834,5,12
3458,130890,8756,14,21
3459,358080,23752,57,88
3460,142814,7003,19,29
3461,88583,6516,3,8
3462,56926,4127,1,3
4011,567559,38356,62,99
4012,113643,7682,9,14
5111,621877,39102,45,91
5112,498686,32807,88,154
5113,582760,40814,60,86
5114,227417,16119,12,37
5116,261034,16983,47,68
5117,170632,13421,13,30
5119,210764,14315,20,27
5120,111338,8087,28,35
5122,159245,11420,22,33
5124,355100,23990,80,106
5154,312465,19393,50,69
5158,485570,38839,85,141
5162,451730,31751,36,63
5166,298863,20987,36,45
5170,459976,33526,26,42
5314,329673,19456,18,24
5315,1087863,60040,138,223
5316,163729,12049,13,20
5334,557026,35711,103,168
5358,264638,17018,52,76
5362,470615,31309,75,98
5366,193656,12680,22,38
5370,255555,16272,68,116
5374,272057,18690,26,41
5378,283271,22094,17,28
5382,600764,40912,57,79
5512,117565,8093,2,11
5513,259645,16585,13,30
5515,315293,17711,14,24
5554,371339,21832,45,73
5558,220586,14020,15,26
5562,614137,43447,48,85
5566,448220,28061,75,113
5570,277840,18585,21,34
5711,334195,22156,15,26
5754,364938,23135,26,40
5758,250578,18268,22,32
5762,140251,10147,14,22
5766,347514,25591,30,46
5770,310409,22280,20,29
5774,307839,17184,52,62
5911,365587,25771,26,41
5913,588250,38328,34,61
5914,188686,13693,26,45
5915,179916,11742,37,52
5916,156449,10768,8,23
5954,324106,24667,35,53
5958,259777,18444,26,38
5962,410222,29269,17,48
5966,133955,8540,44,66
5970,276944,18793,8,13
5974,301785,20449,13,20
5978,394891,28277,48,75
6411,159878,8771,22,32
6412,763380,36058,110,184
6413,130280,6485,12,25
6414,278474,18140,28,52
6431,270340,18623,21,32
6432,297844,18842,25,40
6433,275726,16561,34,54
6434,236914,18017,28,42
6435,420552,27958,46,78
6436,238558,16625,24,39
6437,96703,7013,53,76
6438,355813,23848,68,103
6439,187160,13558,9,15
6440,308339,20362,16,29
6531,270688,16048,5,12
6532,253319,17678,18,30
6533,171912,11350,10,16
6534,247084,15079,28,36
6535,105643,7949,2,10
6611,202137,12583,19,23
6631,223145,15291,19,26
6632,120719,9163,22,27
6633,236764,18639,37,49
6634,179673,12992,32,50
6635,156406,11534,10,12
6636,100629,8189,15,19
7111,114052,8193,18,26
7131,130086,10414,10,17
7132,128805,8956,13,15
7133,158345,11340,7,9
7134,80951,6090,4,7
7135,61375,4759,2,5
7137,214434,14460,14,22
7138,182811,12667,8,11
7140,103163,7151,4,7
7141,122297,8702,3,9
7143,201904,13086,21,28
7211,111528,6327,2,4
7231,112483,7929,15,16
7232,99058,6211,4,6
7233,60646,4598,6,9
7235,149398,9511,6,14
7311,48762,3758,3,4
7312,100030,6419,6,11
7313,46881,2884,2,2
7314,172253,10445,10,13
7315,218578,12331,24,37
7316,53264,4310,3,3
7317,40231,3392,1,1
7318,50561,3642,0,2
7319,83542,5281,4,8
7320,34193,2539,1,2
7331,129687,7427,12,15
7332,132671,9962,18,22
7333,75325,4850,7,11
7334,129013,7798,19,24
7335,105979,6982,3,5
7336,70219,5060,10,16
7337,110521,7759,2,7
7338,154609,11130,4,7
7339,211417,13278,36,48
7340,94831,7562,4,8
8111,635911,37974,60,99
8115,392807,25741,56,78
8116,535024,35972,108,153
8117,258145,18033,32,58
8118,545423,35216,80,120
8119,427248,29456,77,119
8121,126592,8051,20,28
8125,344456,20468,40,54
8126,112655,6778,22,48
8127,196761,11471,44,70
8128,132399,9271,7,13
8135,132777,9466,32,45
8136,314025,20450,32,54
8211,55185,4812,12,21
8212,312060,18888,23,31
8215,445101,29443,94,137
8216,231420,15694,16,28
8221,161485,8583,11,15
8222,310658,18087,24,39
8225,143633,9539,18,30
8226,548355,37157,52,83
8231,125957,8291,7,15
8235,159201,10436,17,31
8236,199556,13587,23,39
8237,118243,7731,32,43
8311,231195,12265,57,86
8315,263601,18196,56,81
8316,166408,10870,41,56
8317,430953,28360,102,154
8325,139878,9533,23,34
8326,212506,15434,24,44
8327,140766,8837,19,30
8335,286305,19521,19,32
8336,228736,14951,39,68
8337,171003,11315,33,46
8415,287034,19234,67,92
8416,228678,12268,60,79
8417,189363,13409,55,83
8421,126790,7490,11,19
8425,197076,11977,57,67
8426,201282,11545,31,45
8435,217470,15870,7,11
8436,285424,17732,9,14
8437,130849,8415,20,38
9161,137392,8168,25,46
9162,1484226,83918,199,324
9163,63551,4034,12,23
9171,111516,7665,45,59
9172,105929,8249,23,35
9173,127917,8924,11,14
9174,154899,9005,38,61
9175,143649,8833,10,18
9176,132881,7172,16,27
9177,138182,7007,9,18
9178,180007,8788,34,50
9179,219311,15685,43,57
9180,88424,7444,17,22
9181,120302,7443,11,16
9182,100010,7487,6,11
9183,115872,7053,20,32
9184,350473,24469,70,103
9185,97303,5745,22,36
9186,128227,7088,21,36
9187,261330,17498,152,228
9188,136667,10688,9,15
9189,177319,12800,76,109
9190,135478,9430,9,16
9261,73411,4817,9,13
9262,52803,3579,18,21
9263,47791,3136,31,50
9271,119478,7257,16,22
9272,78362,4954,16,22
9273,123058,6871,24,39
9274,159895,8783,27,43
9275,192656,12704,29,47
9276,77410,5017,10,14
9277,121502,8042,38,64
9278,101120,5826,23,35
9279,96683,5522,7,16
9361,42207,3163,3,4
9362,153094,8508,6,11
9363,42743,3182,10,21
9371,103049,6754,46,60
9372,127998,8112,19,28
9373,134573,7750,36,48
9374,94450,5974,47,77
9375,194070,11013,15,25
9376,147872,9217,11,25
9377,72046,5117,92,145
9461,77373,4930,15,28
9462,74783,5144,7,14
9463,41072,3194,4,6
9464,45825,3507,4,7
9471,147163,8289,34,48
9472,103664,7161,18,29
9473,86747,6277,22,33
9474,116203,7176,7,9
9475,94801,7957,28,35
9476,66743,5080,7,10
9477,71566,5294,6,12
9478,66776,4766,20,25
9479,72655,6106,34,51
9561,41798,2863,5,10
9562,112528,6593,8,15
9563,128497,7238,34,45
9564,518370,33742,42,72
9565,40981,2878,3,3
9571,184591,11360,29,41
9572,137262,8441,11,17
9573,117853,8480,58,74
9574,170792,12044,35,52
9575,101014,6343,6,10
9576,126749,8243,10,14
9577,94734,6404,19,30
9661,71002,4604,3,4
9662,53426,4253,18,25
9663,127934,8708,46,53
9671,174200,11633,29,44
9672,103235,8041,12,18
9673,79635,5410,7,14
9674,84384,5228,8,9
9675,91155,5716,3,6
9676,128743,8534,18,25
9677,126158,8980,13,21
9678,115445,7783,24,38
9679,162302,10292,18,25
9761,296582,18761,36,59
9762,44398,3298,10,16
9763,69151,5029,11,15
9764,44100,3120,4,5
9771,134655,8346,23,29
9772,253468,16199,15,25
9773,96562,5987,25,42
9774,127027,7556,18,26
9775,175204,11180,21,29
9776,81981,6143,8,11
9777,141182,9256,32,48
9778,145341,9692,29,40
9779,133783,8342,26,35
9780,156008,11269,10,14
10041,328714,23565,81,132
10042,103243,7229,18,22
10043,131408,10135,10,13
10044,194319,14476,21,33
10045,142196,11398,15,23
10046,87007,6658,16,25
12051,72184,7060,0,2
12052,99678,8707,11,15
12053,57751,4999,2,3
12054,180334,11987,37,51
12060,185244,14029,25,49
12061,170791,13819,6,10
12062,101827,9518,6,8
12063,162996,11863,5,10
12064,195751,15126,16,23
12065,212914,16072,5,12
12066,109371,10725,6,9
12067,178803,15695,10,13
12068,98861,8106,0,0
12069,216566,15638,31,42
12070,76158,7128,3,3
12071,113720,10277,12,19
12072,169997,12509,8,14
12073,118947,10759,8,11
13003,209191,17456,4,6
13004,95653,8308,2,4
13071,258074,21216,7,10
13072,215794,15905,4,6
13073,224702,18907,5,8
13074,157322,11512,2,4
13075,235623,18897,5,13
13076,211779,15445,1,4
14511,246334,22989,9,16
14521,334948,30421,104,163
14522,304099,28047,8,13
14523,225997,22408,40,62
14524,315002,30533,70,96
14612,556780,43071,30,44
14625,299758,27718,50,68
14626,252725,25312,67,87
14627,241717,22807,52,69
14628,245586,22751,29,37
14713,593145,41932,12,18
14729,258139,22213,12,17
14730,197741,16579,11,20
15001,80103,8717,2,4
15002,238762,19297,13,18
15003,237565,19496,8,12
15081,83173,6497,4,5
15082,158486,14375,4,5
15083,170923,12311,14,15
15084,178846,16573,11,15
15085,213310,19226,3,9
15086,89589,7444,8,9
15087,134942,12941,1,3
15088,183815,14512,7,12
15089,189125,17239,3,4
15090,111190,9099,5,9
15091,124953,11746,5,9
16051,213981,15362,18,20
16052,93125,8999,17,27
16053,111343,8160,4,6
16054,36789,3710,0,2
16055,65228,4969,0,1
16056,42250,3758,5,5
16061,100006,7309,13,19
16062,83416,7222,2,4
16063,118974,9429,1,3
16064,102232,8228,14,18
16065,74212,6352,5,6
16066,124916,10443,11,16
16067,134908,10759,30,38
16068,69427,4961,2,5
16069,63197,4874,5,7
16070,106249,8719,3,7
16071,82156,5719,7,8
16072,57717,5193,28,37
16073,103199,9907,5,10
16074,82950,6691,9,12
16075,80312,6736,11,13
16076,97398,9355,31,49
16077,89393,8953,2,6
